"l","SSE"
"201",-1,9.53386038400174
"202",-0.99,9.51087159355281
"203",-0.98,9.48825744618566
"204",-0.97,9.46601863267697
"205",-0.96,9.44415585265089
"206",-0.95,9.42266981461267
"207",-0.94,9.40156123598605
"208",-0.93,9.38083084314682
"209",-0.92,9.36047937145964
"210",-0.91,9.34050756531411
"211",-0.9,9.3209161781598
"212",-0.89,9.30170597254447
"213",-0.88,9.28287772015055
"214",-0.87,9.26443220183083
"215",-0.86,9.246370207648
"216",-0.85,9.22869253691174
"217",-0.84,9.21139999821545
"218",-0.83,9.19449340947666
"219",-0.82,9.17797359797376
"220",-0.81,9.16184140038632
"221",-0.8,9.14609766283333
"222",-0.79,9.1307432409133
"223",-0.78,9.11577899974361
"224",-0.77,9.10120581400111
"225",-0.76,9.08702456796185
"226",-0.75,9.07323615554286
"227",-0.74,9.05984148034159
"228",-0.73,9.04684145567899
"229",-0.72,9.03423700463974
"230",-0.71,9.02202906011502
"231",-0.7,9.01021856484402
"232",-0.69,8.99880647145759
"233",-0.68,8.98779374252018
"234",-0.67,8.97718135057324
"235",-0.66,8.96697027817905
"236",-0.65,8.95716151796442
"237",-0.64,8.94775607266468
"238",-0.63,8.93875495516838
"239",-0.62,8.93015918856197
"240",-0.61,8.9219698061752
"241",-0.6,8.91418785162607
"242",-0.59,8.90681437886764
"243",-0.58,8.89985045223277
"244",-0.57,8.89329714648166
"245",-0.56,8.88715554684867
"246",-0.55,8.88142674908859
"247",-0.54,8.87611185952548
"248",-0.53,8.87121199509895
"249",-0.52,8.86672828341392
"250",-0.51,8.86266186278793
"251",-0.5,8.85901388230058
"252",-0.49,8.85578550184302
"253",-0.48,8.85297789216679
"254",-0.47,8.85059223493458
"255",-0.46,8.84862972276997
"256",-0.45,8.84709155930836
"257",-0.44,8.84597895924809
"258",-0.43,8.84529314840145
"259",-0.42,8.84503536374671
"260",-0.41,8.8452068534805
"261",-0.4,8.84580887706973
"262",-0.39,8.84684270530502
"263",-0.38,8.84830962035337
"264",-0.37,8.85021091581243
"265",-0.36,8.85254789676395
"266",-0.35,8.85532187982859
"267",-0.34,8.85853419322048
"268",-0.33,8.86218617680216
"269",-0.32,8.86627918214045
"270",-0.31,8.87081457256257
"271",-0.3,8.87579372321174
"272",-0.29,8.88121802110449
"273",-0.28,8.88708886518781
"274",-0.27,8.89340766639624
"275",-0.26,8.90017584770984
"276",-0.25,8.90739484421314
"277",-0.24,8.91506610315318
"278",-0.23,8.92319108399861
"279",-0.22,8.93177125850004
"280",-0.21,8.9408081107488
"281",-0.2,8.95030313723857
"282",-0.19,8.96025784692515
"283",-0.18,8.97067376128816
"284",-0.17,8.9815524143928
"285",-0.16,8.99289535295143
"286",-0.15,9.0047041363865
"287",-0.14,9.01698033689328
"288",-0.13,9.02972553950317
"289",-0.12,9.04294134214769
"290",-0.11,9.0566293557223
"291",-0.1,9.07079120415165
"292",-0.0899999999999999,9.08542852445424
"293",-0.0800000000000001,9.10054296680801
"294",-0.0699999999999998,9.11613619461643
"295",-0.0600000000000001,9.13220988457524
"296",-0.0499999999999998,9.1487657267389
"297",-0.04,9.16580542458796
"298",-0.0299999999999998,9.18333069509764
"299",-0.02,9.20134326880468
"300",-0.00999999999999979,9.21984488987717
"301",0,9.23883731618504
"302",0.0100000000000002,9.25832231936674
"303",0.02,9.27830168489905
"304",0.0300000000000002,9.29877721217471
"305",0.04,9.31975071456358
"306",0.0500000000000003,9.34122401949189
"307",0.0600000000000001,9.36319896851048
"308",0.0700000000000003,9.38567741736827
"309",0.0800000000000001,9.40866123608576
"310",0.0899999999999999,9.43215230902845
"311",0.1,9.45615253498018
"312",0.11,9.48066382721889
"313",0.12,9.50568811359056
"314",0.13,9.53122733658523
"315",0.14,9.55728345341318
"316",0.15,9.58385843608134
"317",0.16,9.61095427147035
"318",0.17,9.63857296141234
"319",0.18,9.66671652276893
"320",0.19,9.69538698750982
"321",0.2,9.72458640279201
"322",0.21,9.75431683103971
"323",0.22,9.78458035002445
"324",0.23,9.81537905294554
"325",0.24,9.84671504851197
"326",0.25,9.87859046102382
"327",0.26,9.91100743045495
"328",0.27,9.94396811253574
"329",0.28,9.97747467883673
"330",0.29,10.0115293168525
"331",0.3,10.0461342300868
"332",0.31,10.0812916381371
"333",0.32,10.1170037767805
"334",0.33,10.1532728980606
"335",0.34,10.1901012703735
"336",0.35,10.2274911785562
"337",0.36,10.2654449239738
"338",0.37,10.3039648246088
"339",0.38,10.3430532151499
"340",0.39,10.3827124470822
"341",0.4,10.4229448887771
"342",0.41,10.4637529255839
"343",0.42,10.5051389599207
"344",0.43,10.5471054113675
"345",0.44,10.5896547167582
"346",0.45,10.6327893302744
"347",0.46,10.6765117235397
"348",0.47,10.7208243857138
"349",0.48,10.7657298235882
"350",0.49,10.8112305616821
"351",0.5,10.8573291423389
"352",0.51,10.9040281258232
"353",0.52,10.9513300904189
"354",0.53,10.9992376325277
"355",0.54,11.0477533667679
"356",0.55,11.0968799260746
"357",0.56,11.1466199617997
"358",0.57,11.1969761438133
"359",0.58,11.2479511606055
"360",0.59,11.2995477193883
"361",0.6,11.3517685461994
"362",0.61,11.4046163860054
"363",0.62,11.4580940028068
"364",0.63,11.5122041797423
"365",0.64,11.5669497191955
"366",0.65,11.622333442901
"367",0.66,11.6783581920516
"368",0.67,11.7350268274061
"369",0.68,11.7923422293983
"370",0.69,11.8503072982459
"371",0.7,11.9089249540609
"372",0.71,11.9681981369601
"373",0.72,12.0281298071766
"374",0.73,12.0887229451721
"375",0.74,12.1499805517501
"376",0.75,12.2119056481687
"377",0.76,12.2745012762562
"378",0.77,12.3377704985254
"379",0.78,12.4017163982897
"380",0.79,12.4663420797801
"381",0.8,12.531650668262
"382",0.81,12.5976453101543
"383",0.82,12.6643291731473
"384",0.83,12.7317054463232
"385",0.84,12.7997773402765
"386",0.85,12.868548087235
"387",0.86,12.9380209411821
"388",0.87,13.0081991779797
"389",0.88,13.0790860954917
"390",0.89,13.1506850137086
"391",0.9,13.2229992748731
"392",0.91,13.2960322436054
"393",0.92,13.369787307031
"394",0.93,13.4442678749077
"395",0.94,13.5194773797549
"396",0.95,13.5954192769824
"397",0.96,13.6720970450208
"398",0.97,13.7495141854529
"399",0.98,13.8276742231452
"400",0.99,13.9065807063809
"401",1,13.9862372069936
"402",1.01,14.0666473205018
"403",1.02,14.1478146662442
"404",1.03,14.229742887516
"405",1.04,14.3124356517059
"406",1.05,14.3958966504347
"407",1.06,14.4801295996934
"408",1.07,14.5651382399837
"409",1.08,14.6509263364583
"410",1.09,14.7374976790629
"411",1.1,14.8248560826784
"412",1.11,14.9130053872646
"413",1.12,15.0019494580046
"414",1.13,15.09169218545
"415",1.14,15.1822374856673
"416",1.15,15.2735893003851
"417",1.16,15.3657515971421
"418",1.17,15.4587283694364
"419",1.18,15.5525236368758
"420",1.19,15.6471414453284
"421",1.2,15.7425858670748
"422",1.21,15.8388610009612
"423",1.22,15.9359709725534
"424",1.23,16.0339199342917
"425",1.24,16.1327120656469
"426",1.25,16.2323515732775
"427",1.26,16.3328426911874
"428",1.27,16.4341896808849
"429",1.28,16.5363968315433
"430",1.29,16.6394684601613
"431",1.3,16.7434089117254
"432",1.31,16.8482225593734
"433",1.32,16.953913804558
"434",1.33,17.0604870772125
"435",1.34,17.1679468359169
"436",1.35,17.2762975680657
"437",1.36,17.3855437900357
"438",1.37,17.4956900473562
"439",1.38,17.6067409148796
"440",1.39,17.7187009969527
"441",1.4,17.83157492759
"442",1.41,17.9453673706475
"443",1.42,18.060083019998
